"IP Address","Tag","Value","Type"
"172.26.32.3","Communication_Retentive.IP_byte_3[32]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[32]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[33]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[33]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[34]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[34]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[60]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[60]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[61]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[61]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[62]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[62]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[63]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[63]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[64]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[64]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[65]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[65]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[66]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[66]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[67]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[67]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[68]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[68]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[69]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[69]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[70]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[70]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[71]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_4[71]","","T"
"172.26.32.2","Communication_Retentive.IP_byte_3[72]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_4[97]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_3[98]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_4[98]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_3[99]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_4[99]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_3[100]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_4[100]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_3[101]","","T"
"172.26.32.1","Communication_Retentive.IP_byte_4[101]","","T"
"172.26.32.1","time_and_IP_settings.ips[1]","","T"
"172.26.32.1","time_and_IP_settings.ips[2]","","T"
"172.26.32.1","time_and_IP_settings.ips[3]","","T"
"172.26.32.1","time_and_IP_settings.ips[4]","","T"
"172.26.32.1","time_and_IP_settings.ips[5]","","T"
"172.26.32.1","time_and_IP_settings.ips[6]","","T"
"172.26.32.1","time_and_IP_settings.ips[7]","","T"
"172.26.32.1","time_and_IP_settings.ips[8]","","T"
"172.26.32.1","time_and_IP_settings.ips[9]","","T"
"172.26.32.1","time_and_IP_settings.ips[10]","","T"
"172.26.32.1","time_and_IP_settings.ips[11]","","T"
"172.26.32.1","time_and_IP_settings.ips[12]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[35]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[35]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[36]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[36]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[37]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[37]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[38]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[38]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[39]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[39]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[40]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[40]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[41]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[41]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[42]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[42]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[43]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[43]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[44]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[44]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[45]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[45]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[46]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_4[46]","","T"
"172.26.32.3","Communication_Retentive.IP_byte_3[47]","","T"
"172.26.32.4","Communication_Retentive.number_of_PLCs","","T"
